,index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,year,years_since_reform,reform,years_since_construction,mean_price_zipcode,option_buy
13,68,1274500060,2014-08-25,204000.0,3,1.0,1000,12070,1.0,Não,Não,4,0,1968,0,98042,47.3621,-122.11,2014,0,Não,46,292000.0,buy
14,71,1049000060,2015-01-05,325000.0,3,2.0,1260,5612,1.0,Não,Não,4,0,1972,0,98034,47.7362,-122.179,2015,0,Não,43,445950.0,buy
15,86,2599001200,2014-11-03,305000.0,5,2.25,2660,8400,1.5,Não,Não,5,0,1961,0,98092,47.2909,-122.189,2014,0,Não,53,309780.0,buy
16,88,1332700270,2014-05-19,215000.0,2,2.25,1610,2040,2.0,Não,Não,4,0,1979,0,98056,47.518,-122.194,2014,0,Não,35,380000.0,buy
17,97,1099611230,2014-09-12,199000.0,4,1.5,1160,6400,1.0,Não,Não,4,0,1975,0,98023,47.3036,-122.378,2014,0,Não,39,268450.0,buy
18,98,722079104,2014-07-11,314000.0,3,1.75,1810,41800,1.0,Não,Não,5,600,1980,0,98038,47.4109,-121.958,2014,0,Não,34,342000.0,buy
19,106,546000875,2014-05-23,460000.0,3,1.0,1670,4005,1.5,Não,Não,4,500,1939,0,98117,47.6878,-122.38,2014,0,Não,75,544000.0,buy
20,107,3530510041,2014-07-23,188500.0,2,1.75,1240,2493,1.0,Não,Não,4,0,1985,0,98198,47.3813,-122.322,2014,0,Não,29,265000.0,buy
21,109,3134100116,2014-08-27,470000.0,5,1.75,2030,12342,2.0,Não,Não,4,0,1942,0,98052,47.6417,-122.109,2014,0,Não,72,615000.0,buy
22,112,2525310310,2014-09-16,272500.0,3,1.75,1540,12600,1.0,Não,Não,4,380,1980,0,98038,47.3624,-122.031,2014,0,Não,34,342000.0,buy
23,117,4060000240,2014-06-23,205425.0,2,1.0,880,6780,1.0,Não,Não,4,0,1945,0,98178,47.5009,-122.248,2014,0,Não,69,278277.0,buy
24,130,3668000070,2015-01-05,212000.0,3,1.75,1060,7875,1.0,Não,Não,4,0,1986,0,98092,47.2761,-122.152,2015,0,Não,29,309780.0,buy
25,135,921049315,2014-08-13,199000.0,3,1.75,1320,17390,1.0,Não,Não,4,0,1956,0,98003,47.3257,-122.296,2014,0,Não,58,267475.0,buy
26,141,1777500060,2014-07-08,527700.0,5,2.5,2820,9375,1.0,Não,Não,4,1270,1968,0,98006,47.5707,-122.128,2014,0,Não,46,760184.5,buy
27,142,1432900240,2015-05-08,205000.0,3,1.0,1610,8579,1.0,Não,Não,4,600,1962,0,98058,47.4563,-122.171,2015,0,Não,53,335000.0,buy
28,144,6071600370,2015-02-27,500000.0,4,2.25,2030,8517,1.0,Não,Não,4,650,1961,0,98006,47.5495,-122.174,2015,0,Não,54,760184.5,buy
29,155,8960000030,2014-07-28,215000.0,3,1.0,1180,7669,1.0,Não,Não,4,0,1967,0,98058,47.4479,-122.176,2014,0,Não,47,335000.0,buy
30,159,1081200350,2014-10-03,320000.0,4,1.75,1760,11180,1.0,Não,Não,4,0,1968,0,98059,47.4715,-122.118,2014,0,Não,46,435000.0,buy
31,164,2617300160,2014-08-12,420000.0,3,2.0,2020,38332,1.0,Não,Não,4,1010,1975,0,98027,47.4582,-122.023,2014,0,Não,39,570500.0,buy
32,169,1755700060,2014-06-11,371500.0,3,2.0,1370,8336,1.0,Não,Não,5,0,1964,0,98133,47.7458,-122.331,2014,0,Não,50,375000.0,buy
33,174,1687900520,2014-09-29,673000.0,4,2.25,2590,8190,2.0,Não,Não,4,0,1980,0,98006,47.5619,-122.125,2014,0,Não,34,760184.5,buy
34,178,5437810320,2014-11-17,269950.0,3,1.5,1950,7560,1.0,Não,Não,4,630,1975,0,98022,47.1976,-121.999,2014,0,Não,39,279500.0,buy
35,192,2287000060,2014-09-12,799000.0,3,2.5,2140,9897,1.0,Não,Não,4,0,1959,0,98040,47.5505,-122.219,2014,0,Não,55,993750.0,buy
36,200,3542300060,2015-03-11,210000.0,3,1.0,860,11725,1.0,Não,Não,4,0,1943,0,98056,47.5093,-122.184,2015,0,Não,72,380000.0,buy
37,203,100600550,2014-08-04,226500.0,3,1.5,1300,7370,1.0,Não,Não,4,400,1976,0,98023,47.3025,-122.37,2014,0,Não,38,268450.0,buy
38,204,3211100860,2015-03-03,274250.0,3,1.0,910,8450,1.0,Não,Não,4,0,1962,0,98059,47.4787,-122.158,2015,0,Não,53,435000.0,buy
39,205,3456000310,2014-08-04,840000.0,4,1.75,2480,11010,1.0,Não,Não,4,850,1966,0,98040,47.5378,-122.219,2014,0,Não,48,993750.0,buy
40,219,7611200125,2014-10-23,467000.0,2,1.5,1320,10800,1.0,Não,Não,4,0,1947,0,98177,47.7145,-122.367,2014,0,Não,67,554000.0,buy
41,227,7972000200,2014-05-29,264950.0,4,2.25,1720,9753,1.0,Não,Não,4,600,1978,0,98023,47.2922,-122.371,2014,0,Não,36,268450.0,buy
42,228,722059070,2015-01-15,235000.0,3,1.0,1430,15246,1.0,Não,Não,4,450,1961,0,98031,47.4075,-122.214,2015,0,Não,54,288200.0,buy
43,240,3584000310,2014-12-08,225000.0,3,1.75,1430,8505,1.0,Não,Não,4,0,1968,0,98003,47.3173,-122.319,2014,0,Não,46,267475.0,buy
44,243,6131600075,2015-04-27,225000.0,3,1.0,1300,8316,1.0,Não,Não,4,0,1954,0,98002,47.3221,-122.216,2015,0,Não,61,235000.0,buy
45,244,9468200125,2014-08-26,480000.0,2,1.0,1030,3060,1.0,Não,Não,4,240,1918,0,98103,47.6779,-122.353,2014,0,Não,96,550000.0,buy
46,249,3797001895,2015-04-22,481000.0,3,1.75,1560,3000,1.0,Não,Não,4,790,1918,0,98103,47.6846,-122.345,2015,0,Não,97,550000.0,buy
47,257,5127001620,2015-02-11,315000.0,3,1.75,1580,11455,1.0,Não,Não,4,380,1974,0,98059,47.4756,-122.147,2015,0,Não,41,435000.0,buy
48,261,8644000060,2014-10-24,237000.0,3,1.75,1270,8470,1.0,Não,Não,4,0,1960,0,98198,47.4207,-122.29,2014,0,Não,54,265000.0,buy
49,264,2123039032,2014-10-27,369900.0,1,0.75,760,10079,1.0,Sim,Não,5,0,1936,0,98070,47.4683,-122.438,2014,0,Não,78,463750.0,buy
50,272,1745100140,2014-10-17,210000.0,3,1.0,1700,11390,1.0,Não,Não,4,0,1967,0,98003,47.3271,-122.323,2014,0,Não,47,267475.0,buy
51,284,5634500392,2015-04-10,330000.0,3,3.0,2420,13959,1.0,Não,Não,4,680,1988,0,98028,47.7486,-122.23,2015,0,Não,27,445000.0,buy
52,289,2200500350,2014-08-12,500000.0,2,1.0,1640,14100,1.0,Não,Não,4,500,1954,0,98006,47.5712,-122.143,2014,0,Não,60,760184.5,buy
53,290,6113400046,2014-07-23,389999.0,4,2.5,1890,15770,2.0,Não,Não,4,0,1968,0,98166,47.4281,-122.343,2014,0,Não,46,390000.0,buy
54,304,4330600350,2015-01-15,315000.0,3,2.25,2200,8750,1.0,Não,Não,4,1080,1964,0,98166,47.476,-122.337,2015,0,Não,51,390000.0,buy
55,305,5016001535,2015-02-17,725000.0,3,1.75,1920,3300,1.0,Não,Não,4,960,1913,0,98112,47.6239,-122.298,2015,0,Não,102,915000.0,buy
56,306,7280300196,2015-04-03,550000.0,4,2.75,1800,7750,1.0,Não,Não,4,400,1965,0,98177,47.7776,-122.384,2015,0,Não,50,554000.0,buy
57,308,7171200445,2015-02-28,550700.0,2,1.0,1010,5000,1.5,Não,Não,4,0,1908,0,98105,47.6692,-122.297,2015,0,Não,107,675000.0,buy
58,318,9521101455,2014-07-23,548000.0,2,1.0,1470,3864,1.0,Não,Não,4,300,1916,0,98103,47.6638,-122.345,2014,0,Não,98,550000.0,buy
59,334,191100045,2014-07-03,940000.0,4,2.0,2490,9525,2.0,Não,Não,5,0,1968,0,98040,47.5639,-122.217,2014,0,Não,46,993750.0,buy
60,340,3126069068,2015-04-24,485000.0,4,1.75,2560,43995,2.0,Não,Não,4,0,1962,0,98052,47.6945,-122.093,2015,0,Não,53,615000.0,buy
61,343,7004200060,2014-10-17,309600.0,4,1.75,1275,20000,1.0,Não,Não,4,0,1991,0,98070,47.3796,-122.49,2014,0,Não,23,463750.0,buy
62,347,4048400070,2014-12-05,320000.0,2,1.0,1070,32633,1.0,Não,Não,4,0,1930,0,98059,47.4716,-122.078,2014,0,Não,84,435000.0,buy
63,348,808000070,2014-10-21,206600.0,3,2.0,1390,13464,1.0,Não,Não,4,0,1987,0,98030,47.3581,-122.173,2014,0,Não,27,282255.0,buy
64,352,616000140,2015-01-26,315000.0,3,1.0,1900,14400,1.0,Não,Não,4,600,1954,0,98166,47.4147,-122.337,2015,0,Não,61,390000.0,buy
65,353,3363900111,2014-12-03,437500.0,2,1.0,990,3120,1.0,Não,Não,5,200,1907,0,98103,47.68,-122.353,2014,0,Não,107,550000.0,buy
66,354,9262800171,2015-03-24,252000.0,4,1.5,1550,19800,1.0,Não,Não,4,500,1969,0,98001,47.3117,-122.27,2015,0,Não,46,260000.0,buy
67,357,2201500030,2014-10-06,420000.0,4,1.0,1750,9600,1.5,Não,Não,4,0,1954,0,98006,47.5759,-122.137,2014,0,Não,60,760184.5,buy
68,361,1072010350,2014-08-28,380000.0,5,2.5,2760,11340,2.0,Não,Não,4,0,1978,0,98059,47.4769,-122.141,2014,0,Não,36,435000.0,buy
69,371,2231500030,2014-10-01,315000.0,4,2.25,2180,10754,1.0,Não,Não,5,1080,1954,0,98133,47.7711,-122.341,2014,0,Não,60,375000.0,buy
70,385,8651600160,2014-11-11,799000.0,4,2.25,2510,11585,2.0,Não,Não,4,0,1969,0,98040,47.5483,-122.226,2014,0,Não,45,993750.0,buy
71,386,9517200030,2014-06-25,365500.0,3,2.0,1410,9600,1.0,Não,Não,4,0,1983,0,98072,47.7591,-122.146,2014,0,Não,31,515000.0,buy
72,391,8857320070,2014-09-17,490000.0,3,2.75,1980,3128,2.0,Não,Não,4,0,1979,0,98008,47.6109,-122.114,2014,0,Não,35,545000.0,buy
73,395,3649100320,2015-04-30,330000.0,2,1.0,1220,10000,1.0,Não,Não,5,0,1950,0,98028,47.7405,-122.241,2015,0,Não,65,445000.0,buy
74,396,7375300160,2015-03-09,530000.0,5,2.25,2720,8800,1.0,Não,Não,4,1220,1958,0,98008,47.5976,-122.118,2015,0,Não,57,545000.0,buy
75,399,2473251090,2014-06-19,269900.0,4,1.75,1530,8750,1.5,Não,Não,4,0,1968,0,98058,47.4556,-122.157,2014,0,Não,46,335000.0,buy
76,402,6021501685,2015-04-22,352000.0,2,1.0,940,5000,1.0,Não,Não,4,0,1937,0,98117,47.6879,-122.385,2015,0,Não,78,544000.0,buy
77,412,1774220160,2014-11-04,632925.0,3,2.5,2990,32239,2.0,Não,Não,4,0,1978,0,98077,47.7718,-122.095,2014,0,Não,36,652475.0,buy
78,415,3426059070,2014-09-09,570000.0,3,1.75,2910,37461,1.0,Não,Não,4,1380,1967,0,98052,47.7015,-122.164,2014,0,Não,47,615000.0,buy
79,421,6073200075,2014-07-30,625000.0,3,1.75,1600,9135,1.0,Não,Não,5,0,1955,0,98006,47.5724,-122.179,2014,0,Não,59,760184.5,buy
80,425,1545808560,2015-04-03,245000.0,3,2.5,1530,8500,1.0,Não,Não,5,500,1996,0,98038,47.3592,-122.046,2015,0,Não,19,342000.0,buy
81,426,936000060,2014-11-14,310000.0,5,1.75,2190,27260,1.0,Não,Não,4,0,1947,1974,98166,47.4546,-122.337,2014,40,Sim,67,390000.0,buy
82,440,3353401710,2014-09-23,227950.0,3,1.5,1670,8230,1.0,Não,Não,5,0,1954,0,98001,47.2613,-122.255,2014,0,Não,60,260000.0,buy
83,444,8857600960,2014-08-19,205000.0,3,1.0,940,7980,1.0,Não,Não,4,0,1960,0,98032,47.3838,-122.289,2014,0,Não,54,249000.0,buy
84,452,2525300030,2015-02-22,232000.0,3,1.0,1400,10403,1.0,Não,Não,4,0,1976,0,98038,47.362,-122.029,2015,0,Não,39,342000.0,buy
85,453,1324059104,2015-04-21,691100.0,3,2.75,2360,16117,1.0,Não,Não,4,650,1983,0,98006,47.5698,-122.121,2015,0,Não,32,760184.5,buy
86,454,2287000030,2014-10-14,811000.0,3,1.75,1870,9897,1.0,Não,Não,4,0,1960,0,98040,47.5505,-122.221,2014,0,Não,54,993750.0,buy
87,459,1796360350,2015-01-28,255000.0,3,1.75,1240,8659,1.0,Não,Não,5,0,1986,0,98042,47.3663,-122.089,2015,0,Não,29,292000.0,buy
88,490,8562501040,2014-11-20,452000.0,4,1.5,1580,7350,1.0,Não,Não,4,620,1963,0,98052,47.6734,-122.154,2014,0,Não,51,615000.0,buy
89,492,7942100310,2015-01-27,232000.0,3,1.75,1300,11230,1.0,Não,Não,5,0,1968,0,98042,47.3811,-122.087,2015,0,Não,47,292000.0,buy
90,504,8906200070,2015-02-10,280000.0,3,1.5,1670,11610,1.0,Não,Não,4,0,1963,0,98055,47.4404,-122.191,2015,0,Não,52,294950.0,buy
91,506,2769600560,2014-05-27,529000.0,3,1.0,1210,3328,1.5,Não,Não,4,0,1924,0,98107,47.6729,-122.363,2014,0,Não,90,529950.0,buy
92,507,9238901420,2015-02-02,442000.0,3,1.0,1190,5100,1.0,Não,Não,4,160,1941,0,98136,47.5346,-122.385,2015,0,Não,74,489950.0,buy
93,508,5113400431,2014-05-08,615000.0,2,1.0,1540,6872,1.0,Não,Não,4,720,1946,0,98119,47.6454,-122.373,2014,0,Não,68,744975.0,buy
94,510,8121200810,2015-05-05,585000.0,4,1.75,2430,7559,1.0,Não,Não,4,850,1981,0,98052,47.7206,-122.11,2015,0,Não,34,615000.0,buy
95,515,4402700070,2015-03-11,300000.0,2,1.0,1100,7680,1.0,Não,Não,4,0,1950,0,98133,47.7439,-122.339,2015,0,Não,65,375000.0,buy
96,520,1432400335,2015-03-25,288000.0,3,1.0,1190,7560,1.0,Não,Não,5,0,1958,0,98058,47.452,-122.177,2015,0,Não,57,335000.0,buy
97,523,3340401555,2014-11-05,235000.0,4,1.5,1690,11054,1.0,Não,Não,4,0,1930,0,98055,47.4667,-122.215,2014,0,Não,84,294950.0,buy
98,525,4348800030,2014-11-21,727500.0,2,2.0,1240,9119,1.0,Não,Não,4,0,1952,0,98004,47.6221,-122.193,2014,0,Não,62,1150000.0,buy
99,533,2008200060,2014-06-24,160000.0,3,1.5,1010,9600,1.0,Não,Não,4,0,1962,0,98198,47.4097,-122.316,2014,0,Não,52,265000.0,buy
100,534,1521069070,2015-02-18,204000.0,3,1.0,1040,7405,1.0,Não,Não,4,0,1971,0,98010,47.3105,-122.021,2015,0,Não,44,359999.5,buy
101,548,2473420140,2014-09-23,315000.0,4,2.75,2300,18360,1.0,Não,Não,4,740,1979,0,98058,47.4518,-122.16,2014,0,Não,35,335000.0,buy
102,549,5000500055,2014-05-28,215000.0,2,1.0,1320,8865,1.0,Não,Não,4,0,1943,0,98168,47.4949,-122.3,2014,0,Não,71,235000.0,buy
103,550,4099500935,2014-07-23,705000.0,3,1.75,2180,10221,1.0,Não,Não,4,1040,1946,0,98040,47.5885,-122.248,2014,0,Não,68,993750.0,buy
104,553,3294700310,2014-09-02,261000.0,2,1.0,750,8125,1.0,Não,Não,4,0,1943,0,98055,47.4727,-122.198,2014,0,Não,71,294950.0,buy
105,554,8718500075,2014-11-17,396000.0,3,1.5,1300,8280,1.0,Não,Não,5,0,1956,0,98028,47.7403,-122.256,2014,0,Não,58,445000.0,buy
106,566,561000075,2014-12-31,260000.0,3,1.0,1180,5350,1.5,Não,Não,4,0,1959,0,98178,47.505,-122.259,2014,0,Não,55,278277.0,buy
107,567,2436701180,2014-08-14,671500.0,5,2.75,2160,4000,1.5,Não,Não,5,630,1927,0,98105,47.667,-122.289,2014,0,Não,87,675000.0,buy
108,569,4045500710,2014-12-18,405000.0,2,0.75,1160,15029,1.0,Não,Não,4,290,1937,0,98014,47.6929,-121.87,2014,0,Não,77,415000.0,buy
109,575,222069082,2014-12-17,300000.0,2,1.0,1220,75794,1.0,Não,Não,4,0,1963,0,98038,47.4219,-122.007,2014,0,Não,51,342000.0,buy
110,579,8945200860,2014-12-11,180000.0,3,1.0,1384,8960,1.0,Não,Não,4,0,1965,0,98023,47.3062,-122.371,2014,0,Não,49,268450.0,buy
111,581,7511800070,2014-08-21,264000.0,3,1.5,1820,10608,1.0,Não,Não,4,0,1962,0,98003,47.3366,-122.306,2014,0,Não,52,267475.0,buy
112,584,5419800510,2014-11-17,268500.0,4,1.75,1420,7500,1.0,Não,Não,4,340,1981,0,98031,47.4025,-122.176,2014,0,Não,33,288200.0,buy
113,591,3620069036,2014-10-21,265000.0,3,1.75,1820,32666,1.0,Não,Não,4,0,1966,0,98022,47.1803,-121.974,2014,0,Não,48,279500.0,buy
114,611,2321300390,2014-11-05,650000.0,3,2.0,1870,3388,1.0,Não,Não,4,640,1925,0,98199,47.6372,-122.395,2014,0,Não,89,689800.0,buy
115,612,3905040800,2014-09-25,533600.0,3,2.5,1930,5080,2.0,Não,Não,4,0,1990,0,98029,47.5694,-122.001,2014,0,Não,24,575000.0,buy
116,614,5115000160,2014-06-17,242000.0,3,1.75,1280,7524,1.5,Não,Não,4,0,1988,0,98031,47.3961,-122.188,2014,0,Não,26,288200.0,buy
117,622,9500900135,2014-10-21,200000.0,3,1.5,1210,10588,1.0,Não,Não,4,0,1958,0,98002,47.2876,-122.212,2014,0,Não,56,235000.0,buy
118,624,6411600069,2014-05-21,325000.0,3,1.0,990,6750,1.0,Não,Não,4,0,1947,0,98133,47.7125,-122.331,2014,0,Não,67,375000.0,buy
119,630,5437820310,2014-05-23,218000.0,3,1.0,960,9633,1.0,Não,Não,5,0,1982,0,98022,47.1951,-122.001,2014,0,Não,32,279500.0,buy
120,631,582000135,2014-06-22,565000.0,2,1.75,1330,6000,1.0,Não,Não,4,370,1914,1945,98199,47.6539,-122.396,2014,69,Sim,100,689800.0,buy
121,636,6131600060,2014-08-15,214000.0,3,1.0,1200,8316,1.0,Não,Não,4,0,1953,0,98002,47.3221,-122.215,2014,0,Não,61,235000.0,buy
122,637,5379805460,2015-01-21,245000.0,3,1.5,1360,8910,2.0,Não,Não,5,0,1949,0,98188,47.4488,-122.275,2015,0,Não,66,264000.0,buy
123,651,7214700350,2014-11-24,521000.0,4,1.75,2020,36400,1.0,Não,Não,4,470,1976,0,98077,47.7627,-122.076,2014,0,Não,38,652475.0,buy
124,659,708000030,2014-09-02,888000.0,3,1.5,1250,8710,1.0,Não,Não,4,0,1953,0,98004,47.6245,-122.198,2014,0,Não,61,1150000.0,buy
125,670,2710600045,2014-06-16,460000.0,3,1.75,1550,4708,1.0,Não,Não,4,690,1949,0,98115,47.6759,-122.286,2014,0,Não,65,567000.0,buy
126,671,5101405124,2014-09-12,435000.0,4,2.5,1700,6380,1.0,Não,Não,4,850,1940,0,98115,47.6988,-122.319,2014,0,Não,74,567000.0,buy
127,672,6067910030,2015-03-16,664000.0,4,2.75,2510,11880,1.0,Não,Não,5,880,1978,0,98006,47.5427,-122.181,2015,0,Não,37,760184.5,buy
128,676,7846700310,2014-06-23,280000.0,2,1.0,1010,3000,1.0,Não,Não,4,0,1925,0,98045,47.4965,-121.785,2014,0,Não,89,399500.0,buy
129,680,5029450160,2014-08-15,222000.0,3,2.0,1440,7187,1.0,Não,Não,4,470,1981,0,98023,47.291,-122.368,2014,0,Não,33,268450.0,buy
130,696,7527200030,2014-12-29,700000.0,5,2.5,2830,25958,1.0,Não,Sim,5,1220,1979,0,98075,47.5896,-122.083,2014,0,Não,35,739999.0,buy
131,706,9477200560,2015-04-13,440000.0,3,1.75,1530,7245,1.0,Não,Não,4,0,1984,0,98034,47.731,-122.191,2015,0,Não,31,445950.0,buy
132,708,5231000060,2014-08-05,310000.0,3,1.75,1490,7150,1.0,Não,Não,5,0,1967,0,98059,47.5015,-122.124,2014,0,Não,47,435000.0,buy
133,711,7967200060,2014-09-08,243000.0,3,1.75,1450,12125,1.0,Não,Não,4,0,1981,0,98001,47.3575,-122.28,2014,0,Não,33,260000.0,buy
134,713,7203000640,2014-09-18,215000.0,4,1.0,1130,7400,1.0,Não,Não,4,0,1969,0,98003,47.3437,-122.316,2014,0,Não,45,267475.0,buy
135,725,2473400340,2014-06-04,320000.0,3,1.5,1650,9380,1.0,Não,Não,5,520,1978,0,98058,47.4525,-122.162,2014,0,Não,36,335000.0,buy
136,726,3530490070,2014-06-13,210000.0,2,1.75,1440,5680,1.0,Não,Não,4,0,1978,0,98198,47.3825,-122.319,2014,0,Não,36,265000.0,buy
137,737,9346980140,2014-08-20,605000.0,3,1.75,1920,7400,1.0,Não,Não,4,660,1977,0,98006,47.5633,-122.131,2014,0,Não,37,760184.5,buy
138,748,579003610,2015-02-24,517500.0,3,1.5,1430,5200,1.0,Não,Não,4,180,1940,0,98117,47.6988,-122.387,2015,0,Não,75,544000.0,buy
139,754,4385700765,2014-06-03,850000.0,3,1.75,1370,3850,1.0,Não,Não,5,600,1911,1988,98112,47.6374,-122.279,2014,26,Sim,103,915000.0,buy
140,766,8146100270,2015-03-24,824000.0,4,2.25,2490,9864,1.0,Não,Não,4,1200,1961,0,98004,47.6051,-122.195,2015,0,Não,54,1150000.0,buy
141,767,8648200030,2014-07-16,260000.0,3,1.75,1100,10968,1.0,Não,Não,5,0,1984,0,98042,47.363,-122.08,2014,0,Não,30,292000.0,buy
142,771,3343901234,2014-11-13,341500.0,3,1.5,1130,7223,1.0,Não,Não,4,0,1961,0,98056,47.5089,-122.189,2014,0,Não,53,380000.0,buy
143,774,2205500575,2015-02-09,390000.0,3,1.0,1200,10800,1.0,Não,Não,4,0,1955,0,98006,47.5771,-122.144,2015,0,Não,60,760184.5,buy
144,775,4040800810,2014-05-02,420000.0,3,2.25,2000,8030,1.0,Não,Não,4,1000,1963,0,98008,47.6188,-122.114,2014,0,Não,51,545000.0,buy
145,780,7230200340,2015-02-25,305000.0,3,1.0,1250,23680,1.0,Não,Não,5,0,1967,0,98059,47.475,-122.11,2015,0,Não,48,435000.0,buy
146,781,3191000240,2014-06-12,400000.0,3,1.75,1590,8219,1.5,Não,Não,5,620,1938,0,98034,47.7146,-122.217,2014,0,Não,76,445950.0,buy
147,785,8731901940,2015-03-04,218000.0,5,1.75,1930,8040,1.0,Não,Não,4,0,1966,0,98023,47.3109,-122.376,2015,0,Não,49,268450.0,buy
148,787,2423069155,2014-11-20,460000.0,4,2.0,2090,40419,1.0,Não,Não,4,0,1984,0,98027,47.4691,-121.993,2014,0,Não,30,570500.0,buy
149,788,2329500260,2014-07-09,232500.0,3,1.5,1940,9887,1.0,Não,Não,4,800,1969,0,98003,47.3289,-122.327,2014,0,Não,45,267475.0,buy
150,790,1494300060,2014-06-11,522000.0,3,1.75,1730,8400,1.0,Não,Não,4,330,1980,0,98052,47.6792,-122.115,2014,0,Não,34,615000.0,buy
151,807,6067900060,2014-06-05,565000.0,3,2.75,2390,9966,1.0,Não,Não,5,1030,1977,0,98006,47.5433,-122.185,2014,0,Não,37,760184.5,buy
152,810,259600260,2015-01-22,345000.0,3,1.0,1250,7210,1.0,Não,Não,4,0,1964,0,98008,47.6329,-122.121,2015,0,Não,51,545000.0,buy
153,817,1922059135,2015-05-13,250000.0,2,2.0,1130,5500,1.0,Não,Não,4,0,1941,0,98030,47.3839,-122.225,2015,0,Não,74,282255.0,buy
154,823,726049190,2014-10-02,287500.0,3,1.0,1810,7200,1.0,Não,Não,4,680,1954,0,98133,47.7493,-122.351,2014,0,Não,60,375000.0,buy
155,834,5066400483,2014-11-20,249900.0,3,1.75,1380,14000,1.0,Não,Não,4,0,1939,1957,98001,47.294,-122.281,2014,57,Sim,75,260000.0,buy
156,842,9429500045,2014-05-09,428750.0,3,1.0,1620,30736,1.5,Não,Não,4,0,1911,1977,98006,47.5719,-122.119,2014,37,Sim,103,760184.5,buy
157,845,1081300200,2014-05-09,352000.0,3,2.25,1640,11050,1.0,Não,Não,4,0,1972,0,98059,47.4723,-122.121,2014,0,Não,42,435000.0,buy
158,846,8818900060,2014-11-25,664000.0,4,2.0,1530,4080,1.5,Não,Não,4,0,1912,0,98105,47.6645,-122.325,2014,0,Não,102,675000.0,buy
159,849,9510900270,2014-12-11,254000.0,3,2.0,2070,9000,1.0,Não,Não,4,620,1969,0,98023,47.3085,-122.376,2014,0,Não,45,268450.0,buy
160,851,2322069114,2014-10-10,287653.0,3,1.0,1050,16050,1.0,Não,Não,4,0,1960,1981,98038,47.3841,-122.006,2014,33,Sim,54,342000.0,buy
161,858,623069068,2014-06-27,425000.0,3,1.0,1520,213444,1.5,Não,Não,5,0,1988,0,98027,47.5081,-122.093,2014,0,Não,26,570500.0,buy
162,859,1865820370,2014-11-13,166600.0,3,1.75,1150,8690,1.0,Não,Não,4,0,1977,0,98042,47.3729,-122.115,2014,0,Não,37,292000.0,buy
163,865,2310000240,2015-03-13,275000.0,3,2.25,1420,8549,2.0,Não,Não,4,0,1989,0,98038,47.3576,-122.039,2015,0,Não,26,342000.0,buy
164,869,3327020400,2015-04-23,289999.0,5,2.5,2180,8240,1.0,Não,Não,4,960,1977,0,98092,47.3122,-122.191,2015,0,Não,38,309780.0,buy
165,889,9465910070,2014-07-16,480000.0,3,2.5,1940,10035,2.0,Não,Não,4,0,1994,0,98072,47.7438,-122.172,2014,0,Não,20,515000.0,buy
